Rank,Team,GM,W-L,3FG,3FGA,3FG%
154,Boston U. (Patriot),32,18-14,274,773,35.4
155,Utah (Pac-12),30,20-10,201,568,35.4
156,TCU (Big 12),32,18-14,231,653,35.4
157,Western Ky. (Conference USA),32,15-17,214,605,35.4
158,Dartmouth (Ivy League),27,7-20,199,563,35.3
159,Loyola Marymount (West Coast),30,15-15,217,614,35.3
160,Boise St. (Mountain West),29,19-10,235,665,35.3
160,Fresno St. (Mountain West),30,19-11,188,532,35.3
162,Northern Ky. (Horizon),34,24-10,292,827,35.3
163,Colorado (Pac-12),32,19-13,233,660,35.3
164,Army West Point (Patriot),32,13-19,291,825,35.3
165,UAB (Conference USA),32,17-15,197,559,35.2
166,New Hampshire (America East),32,20-12,256,727,35.2
167,Kentucky (Southeastern),31,26-5,223,634,35.2
168,St. Bonaventure (Atlantic 10),30,19-11,192,546,35.2
169,USC Upstate (ASUN),32,17-15,280,797,35.1
170,Washington (Pac-12),30,9-21,218,621,35.1
171,Central Conn. St. (Northeast),29,6-23,146,416,35.1
172,North Florida (ASUN),34,15-19,295,841,35.1
173,Mississippi St. (Southeastern),31,16-15,245,699,35.1
174,Indiana St. (Missouri Valley),31,11-20,254,725,35
175,FGCU (ASUN),33,26-7,213,608,35
176,Mercer (Southern),32,15-17,244,698,35
177,Prairie View (Southwestern),33,13-20,237,678,35
178,UMES (Mid-Eastern),32,13-19,252,721,35
179,Long Beach St. (Big West),32,14-18,204,584,34.9
180,Louisiana (Sun Belt),32,21-11,226,647,34.9
181,Georgetown (Big East),32,14-18,206,590,34.9
182,UConn (AAC),30,14-16,202,579,34.9
183,UT Martin (OVC),33,21-12,266,763,34.9
184,Wisconsin (Big Ten),31,23-8,229,657,34.9
185,San Diego (West Coast),31,13-18,258,741,34.8
186,Milwaukee (Horizon),35,11-24,272,782,34.8
187,San Jose St. (Mountain West),29,14-15,193,555,34.8
188,Portland St. (Big Sky),30,15-15,235,676,34.8
189,Florida A&M (Mid-Eastern),30,7-23,187,538,34.8
190,UTEP (Conference USA),30,14-16,171,492,34.8
191,Cincinnati (AAC),31,27-4,233,671,34.7
192,Minnesota (Big Ten),31,23-8,196,565,34.7
193,Eastern Mich. (Mid-American),32,16-16,208,600,34.7
194,Oregon St. (Pac-12),32,5-27,203,586,34.6
195,Chattanooga (Southern),31,19-12,231,667,34.6
196,Colorado St. (Mountain West),31,21-10,215,621,34.6
197,Saint Louis (Atlantic 10),32,12-20,225,650,34.6
198,Presbyterian (Big South),30,5-25,181,523,34.6
199,Seattle U (Western Athletic),29,13-16,254,735,34.6
200,Little Rock (Sun Belt),32,15-17,207,599,34.6
201,Drexel (Colonial),32,9-23,256,741,34.5
202,Nicholls St. (Southland),31,14-17,278,805,34.5
203,Houston Baptist (Southland),29,17-12,185,536,34.5
204,Northern Colo. (Big Sky),29,11-18,254,736,34.5
205,South Fla. (AAC),29,7-22,167,484,34.5
206,Radford (Big South),32,14-18,247,716,34.5
207,LIU Brooklyn (Northeast),32,20-12,184,534,34.5
208,Holy Cross (Patriot),32,15-17,236,685,34.5
209,Drake (Missouri Valley),31,7-24,270,784,34.4
210,BYU (West Coast),33,22-11,219,636,34.4
211,Ole Miss (Southeastern),31,19-12,236,686,34.4
212,Tulsa (AAC),30,14-16,222,646,34.4
213,Oklahoma (Big 12),31,11-20,192,559,34.3
214,Coastal Caro. (Sun Belt),32,16-16,279,814,34.3
215,Mississippi Val. (Southwestern),32,7-25,174,508,34.3
216,George Mason (Atlantic 10),31,19-12,169,494,34.2
217,UT Arlington (Sun Belt),31,24-7,264,772,34.2
218,Wyoming (Mountain West),32,18-14,307,898,34.2
219,Bowling Green (Mid-American),32,13-19,220,644,34.2
220,N.C. Central (Mid-Eastern),31,23-8,240,703,34.1
221,CSU Bakersfield (Western Athletic),29,21-8,184,539,34.1
222,Penn (Ivy League),27,13-14,226,663,34.1
223,South Carolina (Southeastern),31,22-9,212,622,34.1
224,Charleston So. (Big South),31,12-19,228,669,34.1
225,Davidson (Atlantic 10),29,15-14,265,778,34.1
226,Cal Poly (Big West),30,11-19,251,737,34.1
227,The Citadel (Southern),33,12-21,397,1166,34
228,Penn St. (Big Ten),32,15-17,226,664,34
229,Richmond (Atlantic 10),30,19-11,234,688,34
230,South Dakota (Summit League),33,22-11,217,639,34
231,Tennessee St. (OVC),30,17-13,170,501,33.9
232,Stetson (ASUN),32,11-21,261,770,33.9
233,Cornell (Ivy League),29,8-21,244,720,33.9
234,Hartford (America East),32,9-23,263,777,33.8
235,Belmont (OVC),28,22-6,281,831,33.8
236,La.-Monroe (Sun Belt),32,9-23,232,687,33.8
237,Bryant (Northeast),32,12-20,237,702,33.8
238,Northwestern (Big Ten),31,21-10,222,658,33.7
239,Appalachian St. (Sun Belt),30,9-21,251,744,33.7
240,Xavier (Big East),32,20-12,225,667,33.7
241,UCF (AAC),30,20-10,207,614,33.7
242,Norfolk St. (Mid-Eastern),31,16-15,204,606,33.7
243,Texas St. (Sun Belt),30,18-12,186,553,33.6
244,New Mexico St. (Western Athletic),30,25-5,224,667,33.6
245,Seton Hall (Big East),30,20-10,185,551,33.6
246,LSU (Southeastern),31,10-21,196,584,33.6
247,Fairfield (Metro Atlantic),30,16-14,249,743,33.5
248,Sacred Heart (Northeast),32,13-19,200,597,33.5
249,Ark.-Pine Bluff (Southwestern),32,7-25,208,621,33.5
250,UTRGV (Western Athletic),31,10-21,265,792,33.5
251,Lafayette (Patriot),30,9-21,221,661,33.4
252,A&M-Corpus Chris (Southland),29,19-10,154,461,33.4
253,Texas A&M (Southeastern),30,16-14,187,560,33.4
254,Duquesne (Atlantic 10),32,10-22,226,677,33.4
255,Fordham (Atlantic 10),31,13-18,255,765,33.3
255,Youngstown St. (Horizon),34,13-21,250,750,33.3
255,Stony Brook (America East),31,18-13,245,735,33.3
255,Alcorn (Southwestern),30,17-13,213,639,33.3
259,NJIT (ASUN),31,11-20,258,775,33.3
260,Marist (Metro Atlantic),32,8-24,245,736,33.3
261,California (Pac-12),31,20-11,203,610,33.3
262,FIU (Conference USA),31,7-24,181,545,33.2
263,Rider (Metro Atlantic),33,18-15,179,539,33.2
264,Fairleigh Dickinson (Northeast),30,11-19,201,606,33.2
265,Savannah St. (Mid-Eastern),29,13-16,392,1182,33.2
266,McNeese (Southland),29,7-22,195,588,33.2
267,Wagner (Northeast),30,16-14,183,552,33.2
268,VCU (Atlantic 10),31,24-7,181,547,33.1
269,James Madison (Colonial),33,10-23,208,629,33.1
270,Pacific (West Coast),33,11-22,185,560,33
271,Col. of Charleston (Colonial),34,25-9,209,633,33
272,Buffalo (Mid-American),31,17-14,235,712,33
273,Oakland (Horizon),32,24-8,227,688,33
274,Loyola Maryland (Patriot),31,15-16,162,492,32.9
275,Georgia Tech (Atlantic Coast),32,17-15,144,438,32.9
276,Valparaiso (Horizon),32,24-8,214,651,32.9
277,Tennessee (Southeastern),31,16-15,182,554,32.9
278,N.C. A&T (Mid-Eastern),32,3-29,200,609,32.8
279,Manhattan (Metro Atlantic),32,10-22,209,637,32.8
280,Georgia (Southeastern),31,18-13,163,497,32.8
281,Rhode Island (Atlantic 10),30,21-9,182,555,32.8
282,Longwood (Big South),30,6-24,186,568,32.7
282,Siena (Metro Atlantic),34,17-17,186,568,32.7
284,Southern U. (Southwestern),32,15-17,161,492,32.7
285,New Mexico (Mountain West),30,17-13,141,431,32.7
286,New Orleans (Southland),29,18-11,132,404,32.7
287,Green Bay (Horizon),31,18-13,193,591,32.7
288,Tulane (AAC),30,6-24,216,662,32.6
289,DePaul (Big East),32,9-23,184,564,32.6
290,UNI (Missouri Valley),30,14-16,229,702,32.6
291,Hawaii (Big West),29,14-15,209,641,32.6
292,Quinnipiac (Metro Atlantic),31,10-21,228,700,32.6
293,Utah Valley (Western Athletic),29,14-15,257,792,32.4
294,Tennessee Tech (OVC),32,12-20,241,743,32.4
295,Saint Joseph's (Atlantic 10),31,11-20,174,537,32.4
296,Northern Ariz. (Big Sky),32,9-23,239,745,32.1
297,SFA (Southland),30,17-13,179,558,32.1
298,Eastern Ky. (OVC),31,12-19,235,733,32.1
299,Old Dominion (Conference USA),30,19-11,151,471,32.1
300,Stanford (Pac-12),31,14-17,157,490,32
301,Bethune-Cookman (Mid-Eastern),32,10-22,228,712,32
302,South Carolina St. (Mid-Eastern),31,11-20,185,578,32
302,Hampton (Mid-Eastern),29,14-15,185,578,32
304,Grambling (Southwestern),32,16-16,182,569,32
305,UNLV (Mountain West),32,11-21,213,666,32
306,Nebraska (Big Ten),31,12-19,179,560,32
307,North Texas (Conference USA),30,8-22,186,582,32
308,Kent St. (Mid-American),32,19-13,232,727,31.9
309,Sam Houston St. (Southland),32,20-12,200,627,31.9
310,Robert Morris (Northeast),33,14-19,183,574,31.9
311,Maine (America East),32,7-25,212,665,31.9
312,Fla. Atlantic (Conference USA),30,10-20,204,640,31.9
313,Sacramento St. (Big Sky),30,13-17,157,493,31.8
314,South Ala. (Sun Belt),32,14-18,223,702,31.8
315,American (Patriot),30,8-22,168,529,31.8
316,Coppin St. (Mid-Eastern),33,8-25,232,733,31.7
317,Southern Ill. (Missouri Valley),33,17-16,175,554,31.6
318,VMI (Southern),30,6-24,248,786,31.6
319,Chicago St. (Western Athletic),31,6-25,208,660,31.5
320,Alabama (Southeastern),30,17-13,202,641,31.5
321,Cal St. Fullerton (Big West),29,16-13,181,576,31.4
322,UC Riverside (Big West),27,7-20,158,504,31.3
323,Northern Ill. (Mid-American),32,15-17,161,516,31.2
324,San Diego St. (Mountain West),31,18-13,219,703,31.2
325,Towson (Colonial),33,20-13,155,499,31.1
326,East Carolina (AAC),31,14-17,191,617,31
327,Cleveland St. (Horizon),31,9-22,219,709,30.9
328,Miami (OH) (Mid-American),32,11-21,199,647,30.8
329,Navy (Patriot),32,16-16,206,670,30.7
330,Western Caro. (Southern),32,9-23,182,592,30.7
331,Southern Miss. (Conference USA),31,9-22,200,655,30.5
332,Delaware (Colonial),33,13-20,196,644,30.4
333,Missouri (Southeastern),31,8-23,213,710,30
334,Jackson St. (Southwestern),32,14-18,218,730,29.9
335,Texas Southern (Southwestern),32,21-11,192,644,29.8
336,Massachusetts (Atlantic 10),32,15-17,228,765,29.8
337,Memphis (AAC),31,19-12,177,596,29.7
338,Alabama St. (Southwestern),31,8-23,200,674,29.7
339,Rutgers (Big Ten),32,15-17,143,483,29.6
340,Morgan St. (Mid-Eastern),29,14-15,155,526,29.5
341,SIUE (OVC),30,6-24,142,486,29.2
342,Texas (Big 12),32,11-21,176,603,29.2
343,UC Santa Barbara (Big West),28,6-22,154,531,29
344,Howard (Mid-Eastern),33,10-23,166,575,28.9
345,UTSA (Conference USA),32,14-18,164,587,27.9
346,St. Francis Brooklyn (Northeast),31,4-27,221,792,27.9
347,Alabama A&M (Southwestern),29,2-27,125,457,27.4
Reclassifying,,,,,,
-,UMass Lowell (America East),31,11-20,258,662,39.0
-,Incarnate Word (Southland),29,12-17,233,601,38.8
-,Abilene Christian (Southland),29,13-16,207,550,37.6
-,Grand Canyon (Western Athletic),31,22-9,205,619,33.1
