Rank,Team,GM,W-L,TO,TOPG
92,Jackson St. (Southwestern),32,14-18,390,12.2
93,Charlotte (Conference USA),30,13-17,366,12.2
94,Murray St. (OVC),33,16-17,403,12.2
95,St. Francis Brooklyn (Northeast),31,4-27,379,12.2
95,San Diego (West Coast),31,13-18,379,12.2
97,N.C. Central (Mid-Eastern),31,23-8,380,12.3
98,Marquette (Big East),30,19-11,368,12.3
99,Wofford (Southern),33,16-17,405,12.3
100,Montana St. (Big Sky),32,16-16,393,12.3
101,Providence (Big East),31,20-11,381,12.3
101,Creighton (Big East),31,23-8,381,12.3
103,Missouri St. (Missouri Valley),33,17-16,406,12.3
104,Louisiana Tech (Conference USA),31,22-9,382,12.3
105,Eastern Wash. (Big Sky),31,21-10,383,12.4
105,South Carolina St. (Mid-Eastern),31,11-20,383,12.4
105,Illinois (Big Ten),31,18-13,383,12.4
105,West Virginia (Big 12),31,24-7,383,12.4
109,Colorado (Pac-12),32,19-13,396,12.4
110,Binghamton (America East),32,12-20,397,12.4
111,FGCU (ASUN),33,26-7,410,12.4
111,Southeast Mo. St. (OVC),33,15-18,410,12.4
113,Austin Peay (OVC),30,11-19,373,12.4
114,Illinois St. (Missouri Valley),33,27-6,412,12.5
115,Monmouth (Metro Atlantic),33,27-6,413,12.5
116,Vanderbilt (Southeastern),31,17-14,388,12.5
116,William & Mary (Colonial),31,17-14,388,12.5
118,IUPUI (Summit League),32,14-18,401,12.5
118,New Hampshire (America East),32,20-12,401,12.5
118,Marshall (Conference USA),32,18-14,401,12.5
121,Western Mich. (Mid-American),31,16-15,389,12.5
121,Pepperdine (West Coast),31,9-22,389,12.5
121,Drake (Missouri Valley),31,7-24,389,12.5
121,Washington St. (Pac-12),31,13-18,389,12.5
125,Northeastern (Colonial),31,15-16,390,12.6
126,St. Bonaventure (Atlantic 10),30,19-11,378,12.6
127,Belmont (OVC),28,22-6,353,12.6
128,Tennessee (Southeastern),31,16-15,391,12.6
129,San Francisco (West Coast),32,20-12,404,12.6
130,Miami (FL) (Atlantic Coast),31,21-10,392,12.6
131,UTSA (Conference USA),32,14-18,405,12.7
131,USC Upstate (ASUN),32,17-15,405,12.7
133,Troy (Sun Belt),33,19-14,418,12.7
134,Xavier (Big East),32,20-12,406,12.7
135,Ohio (Mid-American),29,19-10,368,12.7
136,UMES (Mid-Eastern),32,13-19,407,12.7
137,Bowling Green (Mid-American),32,13-19,408,12.8
138,Eastern Ill. (OVC),29,14-15,370,12.8
139,California (Pac-12),31,20-11,396,12.8
139,Indiana St. (Missouri Valley),31,11-20,396,12.8
141,Marist (Metro Atlantic),32,8-24,409,12.8
142,UNLV (Mountain West),32,11-21,410,12.8
142,Coastal Caro. (Sun Belt),32,16-16,410,12.8
144,Penn (Ivy League),27,13-14,346,12.8
145,Boise St. (Mountain West),29,19-10,372,12.8
145,Utah St. (Mountain West),29,13-16,372,12.8
147,VCU (Atlantic 10),31,24-7,398,12.8
148,Portland (West Coast),33,11-22,424,12.8
149,Columbia (Ivy League),27,11-16,347,12.9
150,Idaho (Big Sky),29,17-12,373,12.9
151,Stanford (Pac-12),31,14-17,399,12.9
151,George Mason (Atlantic 10),31,19-12,399,12.9
153,Little Rock (Sun Belt),32,15-17,412,12.9
154,Valparaiso (Horizon),32,24-8,413,12.9
154,Jacksonville (ASUN),32,17-15,413,12.9
154,Bethune-Cookman (Mid-Eastern),32,10-22,413,12.9
154,Furman (Southern),32,21-11,413,12.9
158,Towson (Colonial),33,20-13,426,12.9
159,Maryland (Big Ten),31,24-7,401,12.9
160,Arkansas St. (Sun Belt),32,20-12,414,12.9
161,South Dakota St. (Summit League),34,18-16,440,12.9
162,Niagara (Metro Atlantic),33,10-23,428,13
163,La Salle (Atlantic 10),29,15-14,377,13
163,Purdue (Big Ten),31,25-6,403,13
165,Kansas (Big 12),31,28-3,404,13
166,Cleveland St. (Horizon),31,9-22,405,13.1
166,Southern Miss. (Conference USA),31,9-22,405,13.1
168,New Mexico (Mountain West),30,17-13,392,13.1
168,UTEP (Conference USA),30,14-16,392,13.1
170,Campbell (Big South),34,17-17,445,13.1
171,South Ala. (Sun Belt),32,14-18,419,13.1
171,Penn St. (Big Ten),32,15-17,419,13.1
171,Maine (America East),32,7-25,419,13.1
171,St. John's (NY) (Big East),32,14-18,419,13.1
175,San Jose St. (Mountain West),29,14-15,380,13.1
175,CSUN (Big West),29,11-18,380,13.1
177,La.-Monroe (Sun Belt),32,9-23,420,13.1
177,TCU (Big 12),32,18-14,420,13.1
179,High Point (Big South),31,15-16,407,13.1
180,Mt. St. Mary's (Northeast),34,19-15,447,13.1
181,Winthrop (Big South),32,26-6,421,13.2
182,UT Arlington (Sun Belt),31,24-7,408,13.2
183,Loyola Marymount (West Coast),30,15-15,395,13.2
183,VMI (Southern),30,6-24,395,13.2
185,Western Ill. (Summit League),28,8-20,369,13.2
186,American (Patriot),30,8-22,396,13.2
187,Prairie View (Southwestern),33,13-20,436,13.2
187,Canisius (Metro Atlantic),33,18-15,436,13.2
189,Ohio St. (Big Ten),32,17-15,423,13.2
190,Kansas St. (Big 12),31,19-12,410,13.2
191,Alabama A&M (Southwestern),29,2-27,384,13.2
192,Nebraska (Big Ten),31,12-19,411,13.3
192,Georgia (Southeastern),31,18-13,411,13.3
194,Bucknell (Patriot),34,26-8,451,13.3
195,Saint Louis (Atlantic 10),32,12-20,425,13.3
195,Drexel (Colonial),32,9-23,425,13.3
195,Kent St. (Mid-American),32,19-13,425,13.3
198,FIU (Conference USA),31,7-24,412,13.3
198,George Washington (Atlantic 10),31,18-13,412,13.3
198,Fordham (Atlantic 10),31,13-18,412,13.3
201,Fairleigh Dickinson (Northeast),30,11-19,399,13.3
202,Rutgers (Big Ten),32,15-17,426,13.3
203,Chattanooga (Southern),31,19-12,413,13.3
204,Fresno St. (Mountain West),30,19-11,400,13.3
205,North Carolina St. (Atlantic Coast),32,15-17,428,13.4
205,Toledo (Mid-American),32,17-15,428,13.4
205,Bryant (Northeast),32,12-20,428,13.4
208,Texas (Big 12),32,11-21,429,13.4
209,Yale (Ivy League),27,17-10,362,13.4
210,Baylor (Big 12),31,25-6,416,13.4
211,North Dakota (Big Sky),28,19-9,376,13.4
212,Fairfield (Metro Atlantic),30,16-14,403,13.4
213,Northern Ill. (Mid-American),32,15-17,430,13.4
213,Lamar University (Southland),32,19-13,430,13.4
215,Oklahoma St. (Big 12),31,20-11,417,13.5
216,Denver (Summit League),30,16-14,404,13.5
216,Morehead St. (OVC),30,14-16,404,13.5
216,New Mexico St. (Western Athletic),30,25-5,404,13.5
219,UC Irvine (Big West),32,19-13,431,13.5
219,Kennesaw St. (ASUN),32,14-18,431,13.5
221,Houston Baptist (Southland),29,17-12,391,13.5
222,Utah (Pac-12),30,20-10,405,13.5
222,Louisiana (Sun Belt),32,21-11,432,13.5
224,Idaho St. (Big Sky),31,5-26,419,13.5
224,South Carolina (Southeastern),31,22-9,419,13.5
226,Harvard (Ivy League),27,18-9,365,13.5
227,Northern Ky. (Horizon),34,24-10,460,13.5
