Rank,Team,GM,W-L,OPP PTS,OPP PPG
179,Southern Miss. (Conference USA),31,9-22,2239,72.2
180,Wright St. (Horizon),32,20-12,2317,72.4
181,Southern U. (Southwestern),32,15-17,2318,72.4
182,Missouri (Southeastern),31,8-23,2247,72.5
183,Ark.-Pine Bluff (Southwestern),32,7-25,2320,72.5
184,Oregon St. (Pac-12),32,5-27,2321,72.5
185,Cal Poly (Big West),30,11-19,2176,72.5
186,Troy (Sun Belt),33,19-14,2394,72.5
187,Penn St. (Big Ten),32,15-17,2322,72.6
187,South Ala. (Sun Belt),32,14-18,2322,72.6
189,North Dakota (Big Sky),28,19-9,2032,72.6
190,St. Bonaventure (Atlantic 10),30,19-11,2182,72.7
191,Columbia (Ivy League),27,11-16,1964,72.7
192,Indiana St. (Missouri Valley),31,11-20,2255,72.7
193,Ga. Southern (Sun Belt),31,18-13,2256,72.8
194,Eastern Mich. (Mid-American),32,16-16,2330,72.8
195,Weber St. (Big Sky),29,17-12,2112,72.8
195,Central Conn. St. (Northeast),29,6-23,2112,72.8
197,Coastal Caro. (Sun Belt),32,16-16,2331,72.8
198,Texas Southern (Southwestern),32,21-11,2332,72.9
199,A&M-Corpus Chris (Southland),29,19-10,2115,72.9
200,New Mexico (Mountain West),30,17-13,2188,72.9
201,Creighton (Big East),31,23-8,2261,72.9
202,Kent St. (Mid-American),32,19-13,2335,73
203,Nebraska (Big Ten),31,12-19,2264,73
204,Fairfield (Metro Atlantic),30,16-14,2191,73
205,Tennessee Tech (OVC),32,12-20,2338,73.1
206,Saint Joseph's (Atlantic 10),31,11-20,2265,73.1
207,Southern California (Pac-12),31,23-8,2266,73.1
208,Monmouth (Metro Atlantic),33,27-6,2413,73.1
209,Army West Point (Patriot),32,13-19,2340,73.1
210,Montana (Big Sky),31,16-15,2267,73.1
211,BYU (West Coast),33,22-11,2418,73.3
212,Western Caro. (Southern),32,9-23,2345,73.3
213,Indiana (Big Ten),31,17-14,2273,73.3
214,Prairie View (Southwestern),33,13-20,2420,73.3
215,Tennessee (Southeastern),31,16-15,2276,73.4
216,Grambling (Southwestern),32,16-16,2350,73.4
217,South Dakota (Summit League),33,22-11,2426,73.5
218,FIU (Conference USA),31,7-24,2282,73.6
219,St. Francis Brooklyn (Northeast),31,4-27,2284,73.7
220,Sacramento St. (Big Sky),30,13-17,2214,73.8
221,Utah Valley (Western Athletic),29,14-15,2143,73.9
222,Fla. Atlantic (Conference USA),30,10-20,2221,74
223,Saint Francis (PA) (Northeast),32,16-16,2370,74.1
224,Oklahoma (Big 12),31,11-20,2299,74.2
225,Arkansas (Southeastern),31,23-8,2300,74.2
226,Duquesne (Atlantic 10),32,10-22,2376,74.3
227,San Jose St. (Mountain West),29,14-15,2155,74.3
228,Alabama St. (Southwestern),31,8-23,2305,74.4
229,South Fla. (AAC),29,7-22,2158,74.4
230,Virginia Tech (Atlantic Coast),31,22-9,2307,74.4
230,Buffalo (Mid-American),31,17-14,2307,74.4
232,Miami (OH) (Mid-American),32,11-21,2384,74.5
233,DePaul (Big East),32,9-23,2388,74.6
234,Denver (Summit League),30,16-14,2239,74.6
235,Southeast Mo. St. (OVC),33,15-18,2464,74.7
235,Pittsburgh (Atlantic Coast),33,16-17,2464,74.7
237,Northern Colo. (Big Sky),29,11-18,2167,74.7
238,Siena (Metro Atlantic),34,17-17,2541,74.7
239,Marquette (Big East),30,19-11,2243,74.8
240,Dartmouth (Ivy League),27,7-20,2020,74.8
241,Presbyterian (Big South),30,5-25,2245,74.8
242,NJIT (ASUN),31,11-20,2320,74.8
243,Air Force (Mountain West),32,12-20,2396,74.9
244,UNCW (Colonial),34,29-5,2548,74.9
245,Jacksonville (ASUN),32,17-15,2399,75
245,Delaware St. (Mid-Eastern),32,10-22,2399,75
