Rank,Team,GM,W-L,PTS,PPG
178,Rhode Island (Atlantic 10),30,21-9,2193,73.1
179,Boston U. (Patriot),32,18-14,2339,73.1
180,Mississippi St. (Southeastern),31,16-15,2265,73.1
181,Baylor (Big 12),31,25-6,2263,73
182,Oklahoma (Big 12),31,11-20,2262,73
183,Pittsburgh (Atlantic Coast),33,16-17,2404,72.8
184,Coastal Caro. (Sun Belt),32,16-16,2331,72.8
185,Missouri St. (Missouri Valley),33,17-16,2403,72.8
186,Ohio St. (Big Ten),32,17-15,2329,72.8
187,Fairleigh Dickinson (Northeast),30,11-19,2183,72.8
188,Sacred Heart (Northeast),32,13-19,2326,72.7
189,South Carolina (Southeastern),31,22-9,2253,72.7
190,Army West Point (Patriot),32,13-19,2324,72.6
191,NJIT (ASUN),31,11-20,2251,72.6
192,Boston College (Atlantic Coast),32,9-23,2320,72.5
193,Kansas St. (Big 12),31,19-12,2247,72.5
193,Georgia (Southeastern),31,18-13,2247,72.5
195,Tennessee Tech (OVC),32,12-20,2317,72.4
196,Colorado St. (Mountain West),31,21-10,2244,72.4
196,Wisconsin (Big Ten),31,23-8,2244,72.4
198,Penn St. (Big Ten),32,15-17,2316,72.4
199,Albany (NY) (America East),33,21-12,2388,72.4
200,Illinois (Big Ten),31,18-13,2242,72.3
201,Fairfield (Metro Atlantic),30,16-14,2168,72.3
202,UAB (Conference USA),32,17-15,2312,72.3
203,Massachusetts (Atlantic 10),32,15-17,2311,72.2
204,Northern Ill. (Mid-American),32,15-17,2310,72.2
205,Princeton (Ivy League),27,21-6,1948,72.1
206,UMES (Mid-Eastern),32,13-19,2308,72.1
207,Northeastern (Colonial),31,15-16,2234,72.1
208,St. Mary's (CA) (West Coast),32,28-4,2304,72
208,Grambling (Southwestern),32,16-16,2304,72
210,Michigan St. (Big Ten),31,18-13,2231,72
211,Southern U. (Southwestern),32,15-17,2301,71.9
212,Harvard (Ivy League),27,18-9,1941,71.9
213,Western Ill. (Summit League),28,8-20,2012,71.9
214,Columbia (Ivy League),27,11-16,1940,71.9
215,Utah St. (Mountain West),29,13-16,2082,71.8
216,Florida A&M (Mid-Eastern),30,7-23,2153,71.8
217,Vanderbilt (Southeastern),31,17-14,2223,71.7
218,Northern Colo. (Big Sky),29,11-18,2075,71.6
219,Cornell (Ivy League),29,8-21,2074,71.5
220,San Francisco (West Coast),32,20-12,2286,71.4
221,Northwestern (Big Ten),31,21-10,2214,71.4
221,UC Davis (Big West),31,19-12,2214,71.4
