Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
151,Texas Southern (Southwestern),32,21-11,2414,75.4,2332,72.9,2.6
153,Wagner (Northeast),30,16-14,2047,68.2,1973,65.8,2.5
154,Boston U. (Patriot),32,18-14,2339,73.1,2264,70.8,2.3
155,Houston Baptist (Southland),29,17-12,2303,79.4,2237,77.1,2.3
156,Cal St. Fullerton (Big West),29,16-13,2130,73.4,2066,71.2,2.2
157,USC Upstate (ASUN),32,17-15,2518,78.7,2449,76.5,2.2
158,Jacksonville St. (OVC),34,20-14,2371,69.7,2300,67.6,2.1
159,UAB (Conference USA),32,17-15,2312,72.3,2247,70.2,2
160,UT Martin (OVC),33,21-12,2548,77.2,2482,75.2,2
161,Wyoming (Mountain West),32,18-14,2479,77.5,2416,75.5,2
162,Morehead St. (OVC),30,14-16,2370,79,2311,77,2
163,Georgia (Southeastern),31,18-13,2247,72.5,2187,70.5,1.9
164,Mississippi St. (Southeastern),31,16-15,2265,73.1,2206,71.2,1.9
165,Georgetown (Big East),32,14-18,2369,74,2309,72.2,1.9
165,LIU Brooklyn (Northeast),32,20-12,2278,71.2,2218,69.3,1.9
167,Idaho (Big Sky),29,17-12,2139,73.8,2086,71.9,1.8
168,Marshall (Conference USA),32,18-14,2768,86.5,2716,84.9,1.6
169,Tennessee (Southeastern),31,16-15,2326,75,2276,73.4,1.6
170,Saint Francis (PA) (Northeast),32,16-16,2420,75.6,2370,74.1,1.6
171,Northern Ill. (Mid-American),32,15-17,2310,72.2,2261,70.7,1.5
172,Montana (Big Sky),31,16-15,2314,74.6,2267,73.1,1.5
173,Ole Miss (Southeastern),31,19-12,2407,77.6,2363,76.2,1.4
174,Santa Clara (West Coast),33,17-16,2204,66.8,2158,65.4,1.4
175,UC Davis (Big West),31,19-12,2214,71.4,2177,70.2,1.2
176,Penn (Ivy League),27,13-14,1864,69,1832,67.9,1.2
177,Utah St. (Mountain West),29,13-16,2082,71.8,2048,70.6,1.2
178,New Mexico (Mountain West),30,17-13,2223,74.1,2188,72.9,1.2
179,Denver (Summit League),30,16-14,2273,75.8,2239,74.6,1.1
180,SFA (Southland),30,17-13,2095,69.8,2062,68.7,1.1
181,UTEP (Conference USA),30,14-16,2075,69.2,2044,68.1,1
182,Montana St. (Big Sky),32,16-16,2561,80,2532,79.1,0.9
183,Alcorn (Southwestern),30,17-13,2090,69.7,2063,68.8,0.9
184,Auburn (Southeastern),32,18-14,2573,80.4,2546,79.6,0.8
185,Canisius (Metro Atlantic),33,18-15,2591,78.5,2564,77.7,0.8
185,Evansville (Missouri Valley),33,16-17,2288,69.3,2261,68.5,0.8
187,Campbell (Big South),34,17-17,2418,71.1,2391,70.3,0.8
188,Navy (Patriot),32,16-16,2076,64.9,2053,64.2,0.7
189,UConn (AAC),30,14-16,1998,66.6,1977,65.9,0.7
190,Central Mich. (Mid-American),32,16-16,2826,88.3,2807,87.7,0.6
190,Hofstra (Colonial),32,15-17,2473,77.3,2454,76.7,0.6
192,Western Mich. (Mid-American),31,16-15,2354,75.9,2342,75.5,0.4
